BR_CODE,P_CODE,P_NAME,BAL_QTY,MRP,NET_SALE_RATE,GEN_DATE
RKDA,33391,ROYAL RAJWADI MUKHWAS 80 GM,10,60,59.4,24-Sep-23
RKDA,43248,ROYAL ROASTED VARIYALI 100 GM,10,65,64.35,24-Sep-23
RKDA,43828,ROYAL ROYAL MUKHWAS 100 GM,10,65,64.35,24-Sep-23
RKDA,22720,ROYAL SHAHI GULAB MUKHW 100GM,11,60,59.4,24-Sep-23
RKDA,33386,ROYAL SHRIKHAND WADI MUK100G,1,30,29.4,24-Sep-23
RKDA,33395,ROYAL SP.ANARDANA GOLI 100 GM,3,45,44.1,24-Sep-23
RKDA,33383,ROYAL SP.SARGAM MUKH 100 GM,11,55,54.45,24-Sep-23
RKDA,33389,ROYAL SP.SWEET AAWLA 80 GM,21,40,39.6,24-Sep-23
RKDA,33446,ROYAL SPEC GANGA JAMUNA 100G,11,65,64.35,24-Sep-23
RKDA,33393,ROYAL SPECIAL MUKHWAS 100 GM,16,55,54.45,24-Sep-23
RKDA,35299,ROYAL SPECIAL MUKHWAS 180GM,11,130,128.7,24-Sep-23
RKDA,33375,ROYAL SWAD MUKHWAS 100 GM,10,65,64.35,24-Sep-23
RKDA,33377,ROYAL TIP TOP MUKH 100 GM,10,55,54.45,24-Sep-23
RKDA,31207,RUCHI GOLD PALMOLEIN OIL 1LT,43,128,99,24-Sep-23
RKDA,47,RUCHI STAR SOYABEAN OIL 1LT,4,180,99,24-Sep-23
RKDA,26725,RUCHI SUNRICH SUN OIL 1LTPLS,254,134,106,24-Sep-23
RKDA,26728,RUCHI SUNRICH SUN OIL 5LIT,23,727,580,24-Sep-23
RKDA,52461,S.R.R. 65/ KEBAB MASAL 100GM,13,50,49.5,24-Sep-23
RKDA,52467,S.R.R. CHICK LOLLIPOP MAS 70G,12,40,39.6,24-Sep-23
RKDA,52460,S.R.R. CHICKEN MASALA 80GM,10,65,64.35,24-Sep-23
RKDA,55034,S.R.R. EGG CURRY  MAS 80 GM,8,60,58.8,24-Sep-23
RKDA,52694,S.R.R. FISH CURY MASALA 100GM,8,60,58.8,24-Sep-23
RKDA,52468,S.R.R. FISH FRY MASALA 100GM,13,50,49.5,24-Sep-23
RKDA,52466,S.R.R. GOBI MANSHURIAN M100G,6,45,44.1,24-Sep-23
RKDA,55036,S.R.R. SAMBAR POWDER 100GM,7,60,58.8,24-Sep-23
RKDA,4814,S.R.R.GINGER GARL PASTE 200G,11,50,25,24-Sep-23
RKDA,54275,S.R.R.GINGER GARL PASTE500G ,24,100,99,24-Sep-23
RKDA,52558,S.R.R.PAV BHAJI MASALA 50GM,6,45,44.1,24-Sep-23
RKDA,1952,SABJA 100 GM,5,54,54,24-Sep-23
RKDA,1907,SABJA 50 GM,5,32,32,24-Sep-23
RKDA,5115,SABUDANA  SMALL 250,10,32,32,24-Sep-23
RKDA,5116,SABUDANA  SMALL 500 GM,17,62,62,24-Sep-23
RKDA,1588,SABUDANA SUPER 500 GM,1,43,43,24-Sep-23
RKDA,51761,SABUDANA SUPER LOOSE (BULK),35.25,96,88,24-Sep-23
RKDA,3749,SAFFOLA GOLD OIL 1LT (R) ,22,160,155,24-Sep-23
RKDA,63203,SAFFOLA GOLD OIL 4LT CAN,4,755,678,24-Sep-23
RKDA,11384,SAFFOLA GOLD OIL 5LT CAN,7,805,749,24-Sep-23
RKDA,41219,SAFFOLA MASALA OATS C/M 40 GM,30,17,16.83,24-Sep-23
RKDA,41218,SAFFOLA MASALA OATS P/T 40 G,33,17,16.83,24-Sep-23
RKDA,41216,SAFFOLA MASALA OATS V/T 40 G,13,17,16.83,24-Sep-23
RKDA,59840,SAFFOLA OODLES 53 GM,183,22,15,24-Sep-23
RKDA,43195,SAFOLA MAS CLASIC OAT 500G*,5,215,205,24-Sep-23
RKDA,3755,SALT JADA 1 KG,24,13,13,24-Sep-23
RKDA,2425,SALT SAFFOLA  1KG,5,35,34.3,24-Sep-23
RKDA,2424,SALT TATA 1 KG,213,28,27.72,24-Sep-23
RKDA,6407,SALT TATA LITE LOW SODIU1KG,36,50,49,24-Sep-23
RKDA,2723,SALT UPWAS  100 GM,7,10,10,24-Sep-23
RKDA,60381,SANI FRESH TOILET CLR 1 LTR,6,195,193.05,24-Sep-23
RKDA,15124,SANTOOR ALOE FRE  SOAP 5*125G,9,199,189,24-Sep-23
RKDA,17396,SANTOOR ALOE FRESH SOAP 100*4,10,132,130.68,24-Sep-23
RKDA,59917,SANTOOR CLASIC H/W 200M (1+1),18,99,98.01,24-Sep-23
RKDA,36363,SANTOOR CLASSIC H/W 180M1+1,3,70,69.3,24-Sep-23
RKDA,32221,SANTOOR CLASSIC H/W 180ML,25,35,34.65,24-Sep-23
