Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
surf-excel-stain-bar-150-g-2,SURF EXCEL STAIN BAR - 150 G || S2,Title,Default Title,,,,,42249,,,2 RKBB 421503 Badlapur Belavali,0,0,0,106,106
surf-excel-stain-bar-150-g-3,SURF EXCEL STAIN BAR - 150 G || S3,Title,Default Title,,,,,42249,,,3- 400612 RKDA - Diva,0,0,0,73,73
surf-excel-stain-bar-150-g-1,SURF EXCEL STAIN BAR - 150 G || S1,Title,Default Title,,,,,42249,,,1 Dombivli East (RKM),0,0,0,45,45
biscuits-and-cookies-12,SPECIAL BISCUIT TANGY ORANGE 100 G || S2,Title,Default Title,,,,,42261,,,2 RKBB 421503 Badlapur Belavali,0,0,0,52,52
biscuits-and-cookies-11,SPECIAL BISCUIT TANGY ORANGE 100 G || S3,Title,Default Title,,,,,42261,,,3- 400612 RKDA - Diva,0,0,0,60,60
biscuits-and-cookies-13,SPECIAL BISCUIT TANGY ORANGE 100 G || S1,Title,Default Title,,,,,42261,,,1 Dombivli East (RKM),0,0,0,8,8
colgate-visible-white-dazzling-white-toothpaste-with-sparkling-mint-100-g-2,COLGATE VISIBLE WHITE DAZZLING WHITE TOOTHPASTE WITH SPARKLING MINT 100 G || S2,Title,Default Title,,,,,42316,,,2 RKBB 421503 Badlapur Belavali,0,0,0,5,5
bliss-melon-air-pocket-10-gm-2,BLISS MELON AIR POCKET 10 GM || S2,Title,Default Title,,,,,42321,,,2 RKBB 421503 Badlapur Belavali,0,0,0,4,4
bliss-melon-air-pocket-10-gm-1,BLISS MELON AIR POCKET 10 GM || S1,Title,Default Title,,,,,42321,,,1 Dombivli East (RKM),0,0,0,2,2
sunfeast-dark-fantasy-choco-creme-100-g-pack-2,"SUNFEAST DARK FANTASY CHOCO CREME, 100 G PACK || S2",Title,Default Title,,,,,42323,,,2 RKBB 421503 Badlapur Belavali,0,0,0,56,56
dettol-multiuse-liquid-disinfectant-500-ml-3,DETTOL MULTI USE LIQUID DISINFECTANT 500 ML || S1,Title,Default Title,,,,,42372,,,1 Dombivli East (RKM),0,0,0,6,6
comfort-after-wash-morning-fresh-fabric-conditioner-860-ml-3,COMFORT AFTER WASH MORNING FRESH FABRIC CONDITIONER 860 ML || S3,Title,Default Title,,,,,42387,,,3- 400612 RKDA - Diva,0,0,0,33,33
unibic-cashew-badam-cookie-300-g-3,UNIBIC CASHEW BADAM COOKIE 300 G || S3,Title,Default Title,,,,,42402,,,3- 400612 RKDA - Diva,0,0,0,31,31
britannia-good-day-choco-chips-44-g-2,"BRITANNIA GOOD DAY CHOCO CHIPS, 44 G || S2",Title,Default Title,,,,,42419,,,2 RKBB 421503 Badlapur Belavali,0,0,0,75,75
britannia-good-day-choco-chips-44-g-3,"BRITANNIA GOOD DAY CHOCO CHIPS, 44 G || S3",Title,Default Title,,,,,42419,,,3- 400612 RKDA - Diva,0,0,0,46,46
brooke-bond-tea-taaza-250-g-pack-2,"BROOKE BOND TEA TAAZA, 250 G PACK || S2",Title,Default Title,,,,,42540,,,2 RKBB 421503 Badlapur Belavali,0,0,0,20,20
brooke-bond-tea-taaza-250-g-pack-3,"BROOKE BOND TEA TAAZA, 250 G PACK || S3",Title,Default Title,,,,,42540,,,3- 400612 RKDA - Diva,0,0,0,48,48
brooke-bond-tea-taaza-250-g-pack-1,"BROOKE BOND TEA TAAZA, 250 G PACK || S1",Title,Default Title,,,,,42540,,,1 Dombivli East (RKM),0,0,0,9,9
