P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
44067,COL BARBIE STRAW 6+YR TP 80G,DENTAL CARE,COLGATE,TOOTH PASTE,,
44078,PRINGLE CREM&ONION 107* GM,FARSAN/CHIKKI,PRINGLES,WAFERS  & FARSAN,,
44105,COLGATE CHARCOAL BRUSH 4 PC,DENTAL CARE,COLGATE,TOOTH BRUSH,,
44155,HERSHEYS CHOC SYRUP 32GM,JAM/KETCH-UP/SARBAT,HERSHEYS,SAUCE,,
44182,KLI-NOL ECO FOLRAL FRESH 500M,CLEANING MATERIAL,KLINOL,PHENYLE,,
44194,WHISPER ULTRA NIGHT XL+30PD,SANITARY NAPKINS/DIAPERS,WHISPER,SANITARY NAPKINS,,
44198,BRITA PREMIM BAKE RUSK E400 ,BISCUITS/BAKERY,BRITANNIA,TOAST,,
44234,KNOOR MIX VEG CUP-A-SOUP 11G,FAST FOOD (RADY TO EAT),KNORR,SOUP,,
44239,AMUL DARK CHOCOLATE 150 GM,CHOCLATE/CONFECTIONRIES,AMUL,CHOCLATES,,
44242,VIM DOU-POW CONC GEL 900M RF*,CLEANING MATERIAL,VIM,LIQUID SOAP,,
44246,KNOOR S/C VEG CUP-A-SOUP 12GM,FAST FOOD (RADY TO EAT),KNORR,SOUP,,
44247,NATIONAL SP RAJGIRA CHIKKI80G,FARSAN/CHIKKI,NATIONAL,WAFERS  & FARSAN,,
44251,NATIONAL CR PEANUT CHIKKI 80G,FARSAN/CHIKKI,NATIONAL,WAFERS  & FARSAN,,
44254,NATIONAL SEZWAN STICKS 180G,FARSAN/CHIKKI,NATIONAL,WAFERS  & FARSAN,,
44255,NATIONAL RAJGIRA LADOO 80GM*,FARSAN/CHIKKI,NATIONAL,WAFERS  & FARSAN,,
44282,NATIONAL SP PEANUT CHIKKI 80G,FARSAN/CHIKKI,NATIONAL,WAFERS  & FARSAN,,
44315,OREO VANILLA CREAM 113.75GM,BISCUITS/BAKERY,CADBURY,BISCUITS,,
44330,CHITLE INS. KHAMAN MIX 400GM,FAST FOOD (RADY TO EAT),CHITALE,KHAMAN DHOKLA MIX,,
44331,CHITALE PURE GHEE 1 LTR,OIL/GHEE/VANASPATI,CHITALE,GHEE,,
44332,CHITALE PURE GHEE 200 ML,OIL/GHEE/VANASPATI,CHITALE,GHEE,,
44333,CHITALE PURE GHEE 500 ML,OIL/GHEE/VANASPATI,CHITALE,GHEE,,
44334,DOVE CREAM BEAUTY BAR 3*125G*,BATH SOAPS,DOVE,BATH SOAP,,
44355,GILLETE GUARD CATREJ 3S BLADE,SHAVING PRODUCTS,GILLETTE,SHAVING RAZOR,,
44356,GILLETE GUARD CARTE 6S BLADE,SHAVING PRODUCTS,GILLETTE,SHAVING RAZOR,,
44382,GULAB GROUNDNUT OIL 5LTR,OIL/GHEE/VANASPATI,GULAB,GROUNDNUT OIL,,
44410,CAD DAIRY MILK HAZELNUT 58G,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
44443,NIVEA DARK SPOT MENS F/W 100G,COSMETICS,NIVEA,FACE WASH,,
44467,PARI SUPER DELUXE TISSUE 40PC,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
44508,CHITALE DAIRY GHEE 200 M CBD,OIL/GHEE/VANASPATI,CHITALE,GHEE,,
44517,SUNSILK BLK SHINE SHAM 80ML,HAIR CARE,SUNSILK,SHAMPOO,,
44541,CYCLE NAVEEN DHOOP 15 NO.,POOJA ITEMS,CYCLE,AGARBATTI,,
44546,GAR BL NATURAL 2.0 ORI BL 40G,HAIR CARE,GARNIER,HAIR COLOUR,,
44585,CHITALE GHEE 500 ML CBD,OIL/GHEE/VANASPATI,CHITALE,GHEE,,
44597,CAD 5 STAR CHO 43 GM,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
44676,PERFUME 50 ML RS 109,TALCUM/DEO/PERFUME,JAI MATA DI,PERFUME,,
44911,PERFUME 100 ML RS 149,TALCUM/DEO/PERFUME,JAI MATA DI,PERFUME,,
45106,THUMSUP 750ML,COLD/FRUIT DRINKS,THUMS-UP,COLD DRINKS,,
45107,SPRITE 750ML,COLD/FRUIT DRINKS,SPRITE,COLD DRINKS,,
45108,SUNF MOMS M CAS&ALM BIS 197G,BISCUITS/BAKERY,SUNFEAST,BISCUITS,,
45135,VEGO 2 PC COMBI (FC+TC),CLEANING MATERIAL,CLEANING AND WASHING SOAP,VEGO,,
45139,VEGO GLASS CLEANER 2*500ML,CLEANING MATERIAL,VEGO,CLEANING AND WASHING SOAP,,
45189,EXO JUMBO ROUND BAR 700GM,CLEANING MATERIAL,EXO,DISH WASH BAR,,
45262,DUSTER FLOOR 20 X 20,CLOTHS,BRAND NO,DUSTER,,
45392,ACT II MAGIC BUT P/CORN 30 G,FAST FOOD (RADY TO EAT),ACT-II,READY TO EAT,,
45497,AMUL KOOL KESAR 200 ML PLS,DAIRY/FROZEN,AMUL,MILK DRINKS,,
45547,GILLETTE PESTRO BUY 3 GET 1*,SHAVING PRODUCTS,GILLETTE,SHAVING RAZOR,,
45584,KNOOR MANCHOW CUP-A-SOUP 12G+,FAST FOOD (RADY TO EAT),KNORR,SOUP,,
45738,SNAPIN PASTA MIX SEASON 35GM,FAST FOOD (RADY TO EAT),SNAPIN,READY TO EAT,,
45764,CHITLE KESAR SHRIKHAND 100GM,DAIRY/FROZEN,CHITALE,SHRIKHAND,,
45794,PARLE ELAICHI PREM RUSK 300GM,BISCUITS/BAKERY,PARLE,TOAST,,
45799,WIPRO GARNET 9W LED BULB240 ,MISC/OTHERS,WIPRO,BULBS/TUBES,,
45814,CHITALE SHIRK BADAM PIST 100G,DAIRY/FROZEN,CHITALE,SHRIKHAND,,
45847,SENSODYNE FRESH MINT 150GM,DENTAL CARE,G S K,TOOTH PASTE,,
