P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
59452,KNORR SCHEZWAN SAUC 200G(P)+,JAM/KETCH-UP/SARBAT,KISSAN,SAUCE,,
59454,JEERU ORANGE 2 LTR,COLD/FRUIT DRINKS,JEERU,SOFT DRINKS,,
59455,JEERU CLEAR LEMON 2 LTR,COLD/FRUIT DRINKS,JEERU,SOFT DRINKS,,
59460,SHOPING BAG 3 (18*18),CLOTHS,CLOTH BAGS,POSITIVE TIMES PVT LTD,,
59471,BRI WINKING COW STRAW 200M,COLD/FRUIT DRINKS,BRITANNIA,FRUIT JUICE,,
59474,GOD AER POKET FLORAL DEL 10G,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
59475,SOCIETY MASALA TEA 250GM (R),TEA/COFFEE,SOCIETY,TEA,,
59490,SANTOOR CLASSIC H/W 2*750 ML,BATH SOAPS,SANTOOR,HAND WASH,,
59508,NABATI RICHOCO WAFER 66G,BISCUITS/BAKERY,NABATI,BISCUITS,,
59511,ORAL B CAV CHARCO BR 4 PC MED,DENTAL CARE,ORAL-B,TOOTH BRUSH,,
59535,PARLE NUTRI DIG COOKIES 1 KG*,BISCUITS/BAKERY,PARLE,BISCUITS,,
59536,PARLE H&S CHOC CR SAND 120 GM,BISCUITS/BAKERY,PARLE,BISCUITS,,
59537,PARLE H&S VANILA CR SAND 120G,BISCUITS/BAKERY,PARLE,BISCUITS,,
59561,R.K.BAZAR MACRONI 250G CON,FAST FOOD (RADY TO EAT),R.K.BAZAR(TAX),MACRONI,,
59725,LUX JAS & VITA E SOAP 3*150G*,BATH SOAPS,LUX,BATH SOAP,,
59835,TATA ROCK SALT 200 GM,SUGAR/SALT,TATA SALT,SALTS,,
59840,SAFFOLA OODLES 53 GM,FAST FOOD (RADY TO EAT),SAFFOLA,NOODLES,,
59841,CHHEDAS CHOCO VANILA SNAX 170,BABY/HEALTH-FOOD/DRINKS,CHHEDAS,BABY FOOD,,
59852,UNIBIC CHOCO CHIP COOKI 300 G,BISCUITS/BAKERY,UNIBIC,BISCUITS,,
59894,HELLMANN MAYO DOY 800 GM,JAM/KETCH-UP/SARBAT,HELLMANN,MAYONNAISE,,
59902,RIN ADVANCED BAR 6*250 GM,WASHING/DETERGENTS,RIN,WASHING SOAP,,
59916,COLGATE GENT CLEAN BRUSH SOFT,DENTAL CARE,COLGATE,TOOTH BRUSH,,
59936,RAJVER MILK ROS BRAD 175 GM,BISCUITS/BAKERY,RAJVEER,TOAST,,
59937,RAJVER MASKA KHARI 150 GM,BISCUITS/BAKERY,RAJVEER,TOAST,,
59938,RAJVER JEERA KHARI 150 GM,BISCUITS/BAKERY,RAJVEER,KHARI,,
59940,RAJVEER SUJI ROS BREAD 175 GM,BISCUITS/BAKERY,RAJVEER,TOAST,,
59942,PRINGLE ORIGINAL 40 GM,FARSAN/CHIKKI,PRINGLES,WAFERS  & FARSAN,,
59944,EVE CHICKEN BIRYANI 50 GM,SPICES/MASALA,EVEREST,SPICES & MASALAS BRANDED,,
59945,PARLE HAPPY HAP CHO BIS 400G*,BISCUITS/BAKERY,PARLE,BISCUITS,,
59946,PARLE 20-20 GOLD BIS 600 GM*,BISCUITS/BAKERY,PARLE,BISCUITS,,
59961,ORAL B CAV DEF BRUSH SOFT 6P,DENTAL CARE,ORAL-B,TOOTH BRUSH,,
59998,CLASSY SP CHHOLE MAS 15G CBD,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
60017,CAD DAIRY MILK LOLIPOP 8 GM,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
60027,DABUR VATIKA HEALTH SHMP 340M,HAIR CARE,DABUR,SHAMPOO,,
60029,DABUR VATIKA AYURVED SHM 640M,HAIR CARE,DABUR,SHAMPOO,,
60150,R.K.B PENI PASTA 250 GM,FAST FOOD (RADY TO EAT),R.K.BAZAR(TAX),PASTA,,
60151,R.K.B PENI PASTA 500 GM,FAST FOOD (RADY TO EAT),R.K.BAZAR(TAX),PASTA,,
60153,RK DRY YELLOW NALI 200 GM,PAPAD/PICKLES/FRYMES,FRYMES,R.K.BAZAR(TAX),,
60183,CHING SOK VEG HAKKA NDL 140GM,FAST FOOD (RADY TO EAT),CHINGS,NOODLES,,
60193,UNIBIC CRMY CHEES WAF BIS 75G,BISCUITS/BAKERY,UNIBIC,BISCUITS,,
60201,SCO BRI SIL SPARK 7X7.5 CM 2P,CLEANING MATERIAL,SCOTCH BRITE,SCRUBBER,,
60286,SOULFULL RAGI BITES 6*30 GM,BABY/HEALTH-FOOD/DRINKS,SOULFULL,CORNFLAKES,,
60380,CADBURY 5 STAR OREO 42 GM,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
60442,MAYUR HANKERCHIEF 6-COL 3 PC,CLOTHS,CLOTHS,HANKERCHIEF,,
60449,VEEANA VITHOBA ROLL 225GM,POOJA ITEMS,VEEANA,AGARBATTI,,
60453,VEEANA KASTURI ZIPPER 100GM,POOJA ITEMS,AGARBATTI,VEEANA,,
60547,NABATI RICHEESE WAFER 30G,BISCUITS/BAKERY,NABATI,BISCUITS,,
60569,BISLER LIMONATA 160 ML,COLD/FRUIT DRINKS,BISLERI,SOFT DRINKS,,
60571,PARK AVENUE VOYAGE DEO 150 ML,TALCUM/DEO/PERFUME,PARK AVENUE,PERFUME/SPRAY,,
60600,MALAS FRUMELT 260 GM,CHOCLATE/CONFECTIONRIES,MALAS,CHOCLATES,,
60745,KISSAN FRESH TOM KET 1.2K PLS,JAM/KETCH-UP/SARBAT,KISSAN,KETCHUP,,
60765,WAI WAI MAS DELIGHT NDLS 440G,FAST FOOD (RADY TO EAT),WAI WAI,NOODLES,,
60773,PITAMBARI SHINING POW 150 GM*,CLEANING MATERIAL,PITAMBARI,CLEANING POWDER,,
60784,KELLGGS FROOT LOOPS 285 GM,BABY/HEALTH-FOOD/DRINKS,KELLOGG,CORNFLAKES,,
60823,R.K.WHOLE WHEAT ATTA 5KG,GROCERY,R.K.BAZAR(TAX),ATTA R.K.,,
60853,NESCAFE CLASSIC 11 GM (P),TEA/COFFEE,NESCAFE,COFFEE,,
60861,MALKIST CHEESE CRACKERS 138GM,BISCUITS/BAKERY,MALKIST,BISCUITS,,
60927,VIM LIQUID POUCH 2 LTR,CLEANING MATERIAL,VIM,LIQUID SOAP,,
60929,PONDS  BB+ NATURAL CRE 30 GM,COSMETICS,PONDS,SKIN CREAM,,
60992,KINDER JOY CREAMY 19 GM,CHOCLATE/CONFECTIONRIES,KINDER JOY,CHOCLATES,,
61047,ORIGNAL & HEAL BROWN SUGAR 1K,SUGAR/SALT,NO BRNAD,SUGAR,,
61068,GODREJ NO.1LIME ALOE 4*50 GM,BATH SOAPS,GODREJ (CONSUMERS PRODUCT ),BATH SOAP,,
61096,PRAKASH KANDA LASUN MAS 200GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICE-POWDER,,
61229,PARLE KISMI ASORTED 245.5 GM,CHOCLATE/CONFECTIONRIES,PARLE,TOFFEE /CANDY,,
61236,GIFFY DISH WASH POUCH 1+1 COM,CLEANING MATERIAL,GIFFY,CLEANING POWDER,,
61243,SANTOOR HANDY POWDER H/W REFI,BATH SOAPS,SANTOOR,HAND WASH,,
61246,MANGALAM CAMPHOR JAR 50GM,POOJA ITEMS,MANGALAM,CAMPHOR,,
61247,MANGALAM CAMPHOR JAR 100GM,POOJA ITEMS,MANGALAM,CAMPHOR,,
61248,MANGALAM CAMPHOR (R) 50GM,POOJA ITEMS,MANGALAM,CAMPHOR,,
61249,MANGALAM CAMPHOR (R) 100GM,POOJA ITEMS,MANGALAM,CAMPHOR,,
61250,MANGALAM CAMPHOR (R) 250GM,POOJA ITEMS,MANGALAM,CAMPHOR,,
61251,MANGALAM BHIMSENI 50GM KAPOR,POOJA ITEMS,MANGALAM,CAMPHOR,,
61252,MANGALAM BHIMSENI 100GM KAPOR,POOJA ITEMS,MANGALAM,CAMPHOR,,
61264,MANGALAM CAMPHOR JAR 20GM,POOJA ITEMS,MANGALAM,CAMPHOR,,
61268,ET-MI FALUDA MIX ROSE 200G,FAST FOOD (RADY TO EAT),ET MI,FALUDA MIX,,
61271,KHARIK TUKDA 250 GM,DRY FRUITS,R.K.BAZAR(TAX),KHARIK,,
61299,UNIBIC SNA INDI SPICE 300GM,BISCUITS/BAKERY,UNIBIC,BISCUITS,,
61324,DABUR ANMOL GOLD H OIL 600ML,HAIR CARE,DABUR,HAIR OIL,,
61329,EARTHLY JOY JAGGERY POWD500GM,FASTING/UPWAS,EARTHLY JOY,JAGGERY,,
61337,RAM BANDU SWEET MNGO PKL 500G,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
61353,MAGGI MASALA NOODLE 140GM*,FAST FOOD (RADY TO EAT),MAGGI,NOODLES,,
61400,KAJU PLATINUM 100 GM,DRY FRUITS,R.K.BAZAR(TAX),KAJU,13,draft
61428,BRI TREAT CRE.WAF VENILLA 60G,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
61430,BRI TRT CRE.WAF STRAWBERY 60G,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
61471,SOCIETY MASALA TEA 500GM (R),TEA/COFFEE,SOCIETY,TEA,,
61478,BAULI MOONFILS VENILA VEG 45G,BISCUITS/BAKERY,BAULI,CAKES,,
61487,NABATI RICHEESE WAFER 66G,BISCUITS/BAKERY,NABATI,BISCUITS,,
61488,KITCHEN TOWEL 30*46 PACK OF 4,CLOTHS,NO BRAND,TOWEL,,
61489,CHECK DUSTER 17*27 PACK OF 3,CLOTHS,NO BRAND,DUSTER,,
61505,UNIBIC CHOCO NUT COOKIE 300GM,BISCUITS/BAKERY,UNIBIC,BISCUITS,,
61565,SUNNYS BUTTER CHAKALI 100GM,FARSAN/CHIKKI,WAFERS  & FARSAN,SUNNYS(FARSAN),,
61623,BADAM DIAMOND 1 KG,DRY FRUITS,R.K.BAZAR(TAX),BADAM(ALMOND),,
61708,KAJU DIAMOND 1 KG,DRY FRUITS,R.K.BAZAR(TAX),KAJU,10,draft
61733,JAI MALHAR FARSAN 400 GM,FARSAN/CHIKKI,SUNNYS(FARSAN),WAFERS  & FARSAN,,
62080,PARLE FAB BOURBON CHOC 500G*,BISCUITS/BAKERY,PARLE,BISCUITS,,
62081,LIFE TUR & HON SOAP 100G*,BATH SOAPS,BATH SOAP,LIFEBUOY,,
62121,COL CIBACA 1-2-3 SOFT BRUSH,DENTAL CARE,COLGATE,TOOTH BRUSH,,
62136,GUD NAT (KAJAL) 900 GM,FASTING/UPWAS,R.K.BAZAR,JAGGERY,,
62137,GUD NAT (KAJAL) 450 GM,FASTING/UPWAS,R.K.BAZAR,JAGGERY,,
62141,ORAL- B BAC BLAST 2+1 BR SOFT,DENTAL CARE,ORAL-B,TOOTH BRUSH,,
62525,SHIVONA HIMA PINK SALT 1 KG,SUGAR/SALT,R.K.BAZAR(TAX),SALTS,,
62526,NUTAN RED CHILI SABU CH 100GM,PAPAD/PICKLES/FRYMES,NUTAN,FRYMES,,
62527,NUTAN SABUDANA PAPAD 100GM,PAPAD/PICKLES/FRYMES,NUTAN,FRYMES,,
62529,NUTAN GR CHI SA PO CHAKL 100G,PAPAD/PICKLES/FRYMES,NUTAN,FRYMES,,
62535,NUTAN NACHANI PAPAD 100GM,PAPAD/PICKLES/FRYMES,NUTAN,FRYMES,,
62537,NUTAN WHEAT KURDAI 100G,PAPAD/PICKLES/FRYMES,NUTAN,FRYMES,,
62546,FOGG SCENT INTENSIO PERF 100M,TALCUM/DEO/PERFUME,FOGG,DEO,,
62555,BAGAS 11 BOUND 4 CP,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
62558,BAGAS 10 3 CP ROUND,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
62584,FORTUNE XPERT TOTAL BAL 1LT,OIL/GHEE/VANASPATI,FORTUNE,SOYABEAN OIL,,
62594,NESTLE KITKAT 18GM,CHOCLATE/CONFECTIONRIES,KIT-KAT,CHOCLATES,,
62596,R.K TANDUL BHAKRI PITH 500 GM,GROCERY,R.K.BAZAR(TAX),ATTA R.K.,,
62604,WILD STONE LEGEND DEO 225 ML,TALCUM/DEO/PERFUME,WILD STONE,PERFUME SPARY & DEO,,
62605,WILD ST ULTRA SENSU DEO 225 M,TALCUM/DEO/PERFUME,WILD STONE,PERFUME SPARY & DEO,,
62606,SECRET TEMP DREAM PERFUME 50M,TALCUM/DEO/PERFUME,WILD STONE,PERFUME SPARY & DEO,,
62610,PANEER PHOOL 100 GM,SPICES/MASALA,R.K.BAZAR(TAX),MASALE,,
62772,SPARKMATE SPIN MOP KING,CLEANING MATERIAL,CRYSTAL(KITCHEN WARE),MOP,,
62774,SPARKMATE NO DUST BROOM XL,CLEANING MATERIAL,CRYSTAL(KITCHEN WARE),BROOM,,
62775,SPARKMATE COMMANDO BROOM,CLEANING MATERIAL,CRYSTAL(KITCHEN WARE),MOP,,
63051,SUHANA SAFFRON PRE KESAR 0.5G,SPICES/MASALA,SUHANA,SPICES & MASALAS BRANDED,,
63123,SMOODH CHOCOLATE MILK 85 ML,DAIRY/FROZEN,PARLE & AGRO,MILK DRINKS,,
63186,FRESHREE ALUMIN FOIL ROLL 9MT,MISC/OTHERS,FRESHREE,SILVER FOIL,,
90165,GALA  SCRUBER DISHGHIS XXL,CLEANING MATERIAL,SCRUBBER,GALA,,
90197,SILVER PAPER DRON BIG,MISC/OTHERS,NO BRNAD,PLATE,,
90199,SILVER PLATE THALI (BIG) 34C,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
90538,PAPER GLASS 250 ML,MISC/OTHERS,PLATE,DISPOSAL PRODUCTS,,
